19:22:31.753 INFO (Entity.java:228) Table feed_info was missing but it is not required.
19:22:31.753 INFO (GTFSFeed.java:90) Feed ID is undefined.
19:22:31.753 INFO (GTFSFeed.java:92) Feed ID is 'null'.
19:22:31.753 INFO (Entity.java:232) Loading GTFS table agency from agency.txt
19:22:31.754 INFO (Entity.java:228) Table calendar was missing but it is not required.
19:22:31.754 INFO (Entity.java:232) Loading GTFS table calendar_dates from calendar_dates.txt
19:22:31.814 INFO (Entity.java:228) Table fare_attributes was missing but it is not required.
19:22:31.814 INFO (Entity.java:228) Table fare_rules was missing but it is not required.
19:22:31.814 INFO (Entity.java:232) Loading GTFS table routes from routes.txt
19:22:31.825 INFO (Entity.java:232) Loading GTFS table shapes from shapes.txt
19:22:33,202 ERROR ~ DB transaction left unclosed, this signifies a memory leak!
19:22:33,204 ERROR ~ DB transaction left unclosed, this signifies a memory leak!
19:22:33,204 ERROR ~ DB transaction left unclosed, this signifies a memory leak!
19:22:35.420 INFO (Entity.java:240) Record number 500.0k
19:22:37.788 INFO (Entity.java:232) Loading GTFS table stops from stops.txt
19:22:37.861 INFO (Entity.java:228) Table transfers was missing but it is not required.
19:22:37.861 INFO (Entity.java:232) Loading GTFS table trips from trips.txt
19:22:37.987 INFO (Entity.java:228) Table frequencies was missing but it is not required.
19:22:37.988 INFO (Entity.java:232) Loading GTFS table stop_times from stop_times.txt
19:22:43.060 INFO (Entity.java:240) Record number 500.0k
19:22:45.374 INFO (Entity.java:240) Record number 1.0M
19:22:47.922 INFO (Entity.java:240) Record number 1.5M
19:22:50.381 INFO (GTFSFeed.java:105) 0 errors
19:22:50,382 INFO  ~ GtfsImporter: importing agencies...
19:22:50,512 INFO  ~ Agencies loaded: 2
19:22:50,513 INFO  ~ GtfsImporter: importing stops...
19:23:06,942 INFO  ~ Stops loaded: 0
19:23:06,942 INFO  ~ GtfsImporter: importing routes...
19:23:06,980 INFO  ~ Routes loaded:296
19:23:06,980 INFO  ~ GtfsImporter: importing Shapes...
19:23:12,602 INFO  ~ Shape points loaded: 686159
19:23:12,603 INFO  ~ Shapes loaded: 2232
19:23:12,603 INFO  ~ GtfsImporter: importing Service Calendars...
19:23:12,618 INFO  ~ Service calendars loaded: 13
19:23:12,618 INFO  ~ GtfsImporter: importing trips...
19:23:13.063 INFO (GTFSFeed.java:189) Total patterns: 1032
19:23:14,557 INFO  ~ Fixed 50 / 65 stops after first round for trip pattern a0e90466-00a0-4e48-8ec1-4276483664b5 (GREENCASTLE PARK & RIDE) on route c6d0a86c-47d0-4320-b863-fe033b532537
19:23:14,805 INFO  ~ Fixed 52 / 60 stops after first round for trip pattern 0319db2b-65c6-47e5-bf6c-583782db426d (PENTAGON) on route b1ff195b-ce70-4332-b70a-4c4f924ad206
19:23:14,987 INFO  ~ Fixed 38 / 48 stops after first round for trip pattern 8239738a-8850-4b6a-84cc-2d80a67b76ab (RHODE ISLAND AVE STATION) on route 56db33d3-4290-4545-b21b-1bdf3f2f7937
19:23:15,216 INFO  ~ Fixed 26 / 29 stops after first round for trip pattern fcf71933-c4e8-4bb7-8fae-27a8154baf1e (GREENBELT STATION) on route 008d6276-253b-4ebd-8848-d66d96aff1bb
19:23:15,239 INFO  ~ Fixed 21 / 21 stops after first round for trip pattern bd24a6ff-c37c-4f95-ad28-5ceb5ca6100a (GREENBELT) on route a12e9283-0c0c-4834-aa9f-d0eac26bb519
19:23:15,741 INFO  ~ Fixed 36 / 47 stops after first round for trip pattern 0040658e-a806-4d26-9a21-f606332c304b (ANACOSTIA STATION) on route f1debeb8-b19a-476d-bac2-b9cda8b2511b
19:23:15,752 WARN  ~ Shape dist traveled past end of shape, was 25750.734870676082, expected max 25750.73485728366, clamping
19:23:15,997 INFO  ~ Fixed 43 / 60 stops after first round for trip pattern 5e132f6c-eb70-4693-8d1d-7baca8dc9505 (TAKOMA STATION) on route 64c68e09-196c-4802-a5aa-96fed484b3fe
19:23:16,165 INFO  ~ Fixed 36 / 48 stops after first round for trip pattern 288805ef-c6e8-423c-818e-894766439022 (FRANKLIN SQUARE) on route 086b1b16-ba61-442d-a3f0-ea7e870a00ce
19:23:16,294 INFO  ~ Fixed 25 / 33 stops after first round for trip pattern 2f3eceed-cc18-4814-aaff-845095b8e646 (MCPHERSON SQUARE) on route f85fc952-8ec2-44c0-aa40-a0a49a954224
19:23:16,310 INFO  ~ Fixed 2 / 3 stops after first round for trip pattern f01ae942-60ec-4e65-88e2-e628bbda17f9 (QUAKER LANE) on route e73c9094-c273-42ab-a323-c95c180f3225
19:23:16,310 WARN  ~ Shape dist traveled past end of shape, was 5900.336252972752, expected max 5900.336252972752, clamping
19:23:16,396 INFO  ~ Fixed 36 / 44 stops after first round for trip pattern bf396d30-a618-4e4b-8a56-326d08d173d4 (TAKOMA STATION) on route 495bc5f6-d4fe-4763-9dab-f2fb19b94f96
19:23:16,440 INFO  ~ Fixed 16 / 22 stops after first round for trip pattern bdf25941-cb3c-44d4-98f5-9409860b9971 (TYSONS CORNER) on route f55bc4d6-9baa-4164-bf24-80613ed9f80e
19:23:16,441 WARN  ~ Shape dist traveled past end of shape, was 18400.65054499697, expected max 18400.65054499697, clamping
19:23:16,442 WARN  ~ Shape dist traveled past end of shape, was 18400.65054499697, expected max 18400.65054499697, clamping
19:23:16,481 INFO  ~ Fixed 14 / 24 stops after first round for trip pattern d5055b10-b646-4344-a050-794cca2f85aa (FORT LINCOLN) on route 777bdadf-f8c6-4335-86fc-fa1953d1afd1
