19:28:57.961 INFO (Entity.java:232) Loading GTFS table feed_info from feed_info.txt
19:28:57.963 INFO (GTFSFeed.java:90) Feed ID is undefined.
19:28:57.963 INFO (GTFSFeed.java:92) Feed ID is 'null'.
19:28:57.963 INFO (Entity.java:232) Loading GTFS table agency from agency.txt
19:28:57.963 INFO (Entity.java:232) Loading GTFS table calendar from calendar.txt
19:28:57.964 INFO (Entity.java:232) Loading GTFS table calendar_dates from calendar_dates.txt
19:28:57.966 INFO (Entity.java:232) Loading GTFS table fare_attributes from fare_attributes.txt
19:28:57.966 INFO (Entity.java:232) Loading GTFS table fare_rules from fare_rules.txt
19:28:57.969 INFO (Entity.java:232) Loading GTFS table routes from routes.txt
19:28:57.970 INFO (Entity.java:232) Loading GTFS table shapes from shapes.txt
19:28:58.769 INFO (Entity.java:232) Loading GTFS table stops from stops.txt
19:28:58.770 INFO (Entity.java:232) Loading GTFS table transfers from transfers.txt
19:28:58.771 INFO (Entity.java:232) Loading GTFS table trips from trips.txt
19:28:58.777 INFO (Entity.java:232) Loading GTFS table frequencies from frequencies.txt
19:28:58.784 INFO (Entity.java:232) Loading GTFS table stop_times from stop_times.txt
19:28:59.064 INFO (GTFSFeed.java:105) 0 errors
19:28:59,065 INFO  ~ GtfsImporter: importing agencies...
19:28:59,118 INFO  ~ Agencies loaded: 1
19:28:59,118 INFO  ~ GtfsImporter: importing stops...
19:28:59,312 INFO  ~ Stops loaded: 0
19:28:59,312 INFO  ~ GtfsImporter: importing routes...
19:28:59,312 INFO  ~ Routes loaded:6
19:28:59,312 INFO  ~ GtfsImporter: importing Shapes...
19:29:05,377 INFO  ~ Shape points loaded: 24712
19:29:05,377 INFO  ~ Shapes loaded: 12
19:29:05,377 INFO  ~ GtfsImporter: importing Service Calendars...
19:29:05,387 INFO  ~ Service calendars loaded: 3
19:29:05,387 INFO  ~ GtfsImporter: importing trips...
19:29:05.431 INFO (GTFSFeed.java:189) Total patterns: 35
19:29:05,435 INFO  ~ Fixed 2 / 2 stops after first round for trip pattern 356a1e58-92cf-4ffc-8e10-c5b2dfcd3aa2 (Coliseum/Oakland Airport) on route 11ff52f3-e120-4291-aca9-fbed0430a749
19:29:05,641 INFO  ~ Fixed 4 / 4 stops after first round for trip pattern 60377352-fb6f-492c-bf57-eea8883b4f89 (Dublin/Pleasanton) on route 6a1ea5f7-dab8-453b-987c-a0db99a0d151
19:29:05,826 INFO  ~ Fixed 23 / 23 stops after first round for trip pattern 47f12007-09c1-4482-9417-3df517be4ca5 (Millbrae) on route b47df7cd-2f7d-40a9-abac-deadd9bda1ad
19:29:05,980 INFO  ~ Fixed 11 / 11 stops after first round for trip pattern a8b9b032-ffdb-4614-89db-b52fc1ecc801 (Montgomery St.) on route 4b5c9abc-16dc-4b13-afc5-49bf0976d7cc
