trip_id, pattern_id, block_id, headsign, short_name,,,,,,,,,,,
,,,,,stop_name,,,,,,,,,,
,,,,,stop_id,10973772,10973773,10973774,10973775,10973776,10973777,10973778,10973779,10973780,10973781
,,,,,travel_time,00:00,08:30,04:43,08:42,08:39,08:31,01:30,01:45,06:18,06:39
,,,,,dwell_time,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00
,,,,,cumulative_time,00:00,08:30,13:13,21:55,30:34,39:05,40:35,42:20,48:38,55:17
,,,,,,7:00 AM,+,+,+,+,+,+,+,+,+
,,,,,,7:10 AM,+,+,+,+,+,+,+,+,+
,,,,,,7:20 AM,+,+,+,+,+,+,+,+,+
,,,,,,7:30 AM,+,+,+,+,+,+,+,+,+
,,,,,,7:40 AM,+,+,+,+,+,+,+,+,+
,,,,,,7:50 AM,+,+,+,+,+,+,+,+,+
,,,,,,8:00 AM,+,+,+,+,+,+,+,+,+
,,,,,,8:10 AM,+,+,+,+,+,+,+,+,+
,,,,,,8:20 AM,+,+,+,+,+,+,+,+,+
,,,,,,8:30 AM,+,+,+,+,+,+,+,+,+
,,,,,,8:40 AM,+,+,+,+,+,+,+,+,+
,,,,,,8:50 AM,+,+,+,+,+,+,+,+,+
,,,,,,9:00 AM,+,+,+,+,+,+,+,+,+
,,,,,,9:10 AM,+,+,+,+,+,+,+,+,+
,,,,,,9:20 AM,+,+,+,+,+,+,+,+,+
,,,,,,9:30 AM,+,+,+,+,+,+,+,+,+
,,,,,,9:40 AM,+,+,+,+,+,+,+,+,+
,,,,,,9:50 AM,+,+,+,+,+,+,+,+,+
,,,,,,10:00 AM,+,+,+,+,+,+,+,+,+
,,,,,,10:10 AM,+,+,+,+,+,+,+,+,+
,,,,,,10:20 AM,+,+,+,+,+,+,+,+,+
,,,,,,10:30 AM,+,+,+,+,+,+,+,+,+
,,,,,,10:40 AM,+,+,+,+,+,+,+,+,+
,,,,,,10:50 AM,+,+,+,+,+,+,+,+,+
,,,,,,11:00 AM,+,+,+,+,+,+,+,+,+
,,,,,,11:10 AM,+,+,+,+,+,+,+,+,+
